filename,algorithm,score
pa_50_13,RWordle-L,0.65
pa_50_14,initial,0.0
pa_50_14,SCALE,0.519
pa_50_14,PFS,0.374
pa_50_14,PFS',0.501
pa_50_14,FTA,0.493
pa_50_14,VPSC,0.569
pa_50_14,PRISM,0.478
pa_50_14,GTREE,0.504
pa_50_14,RWordle-L,0.65
pa_50_15,initial,0.0
pa_50_15,SCALE,0.52
pa_50_15,PFS,0.378
pa_50_15,PFS',0.503
pa_50_15,FTA,0.361
pa_50_15,VPSC,0.552
pa_50_15,PRISM,0.544
pa_50_15,GTREE,0.5
pa_50_15,RWordle-L,0.669
pa_50_16,initial,0.0
pa_50_16,SCALE,0.519
pa_50_16,PFS,0.374
pa_50_16,PFS',0.501
pa_50_16,FTA,0.493
pa_50_16,VPSC,0.569
pa_50_16,PRISM,0.478
pa_50_16,GTREE,0.504
pa_50_16,RWordle-L,0.65
pa_50_17,initial,0.0
pa_50_17,SCALE,0.518
pa_50_17,PFS,0.354
pa_50_17,PFS',0.517
pa_50_17,FTA,0.408
pa_50_17,VPSC,0.484
pa_50_17,PRISM,0.486
pa_50_17,GTREE,0.501
pa_50_17,RWordle-L,0.624
pa_50_18,initial,0.0
pa_50_18,SCALE,0.519
pa_50_18,PFS,0.374
pa_50_18,PFS',0.501
pa_50_18,FTA,0.493
pa_50_18,VPSC,0.569
pa_50_18,PRISM,0.478
pa_50_18,GTREE,0.504
pa_50_18,RWordle-L,0.65
pa_50_19,initial,0.0
pa_50_19,SCALE,0.518
pa_50_19,PFS,0.34
pa_50_19,PFS',0.485
pa_50_19,FTA,0.419
pa_50_19,VPSC,0.562
pa_50_19,PRISM,0.48
pa_50_19,GTREE,0.495
pa_50_19,RWordle-L,0.618
pa_50_1,initial,0.0
pa_50_1,SCALE,0.495
pa_50_1,PFS,0.37
pa_50_1,PFS',0.494
pa_50_1,FTA,0.461
pa_50_1,VPSC,0.546
pa_50_1,PRISM,0.462
pa_50_1,GTREE,0.504
pa_50_1,RWordle-L,0.62
pa_50_20,initial,0.0
pa_50_20,SCALE,0.518
pa_50_20,PFS,0.34
pa_50_20,PFS',0.485
pa_50_20,FTA,0.419
pa_50_20,VPSC,0.562
pa_50_20,PRISM,0.48
pa_50_20,GTREE,0.495
pa_50_20,RWordle-L,0.618
pa_50_21,initial,0.0
