filename,algorithm,score
pa_50_21,RWordle-L,0.893
pa_50_22,initial,0.0
pa_50_22,SCALE,0.91
pa_50_22,PFS,0.81
pa_50_22,PFS',0.857
pa_50_22,FTA,0.786
pa_50_22,VPSC,0.842
pa_50_22,PRISM,0.848
pa_50_22,GTREE,0.876
pa_50_22,RWordle-L,0.893
pa_50_23,initial,0.0
pa_50_23,SCALE,0.909
pa_50_23,PFS,0.795
pa_50_23,PFS',0.88
pa_50_23,FTA,0.869
pa_50_23,VPSC,0.821
pa_50_23,PRISM,0.865
pa_50_23,GTREE,0.872
pa_50_23,RWordle-L,0.89
pa_50_24,initial,0.0
pa_50_24,SCALE,0.909
pa_50_24,PFS,0.784
pa_50_24,PFS',0.847
pa_50_24,FTA,0.815
pa_50_24,VPSC,0.845
pa_50_24,PRISM,0.846
pa_50_24,GTREE,0.862
pa_50_24,RWordle-L,0.886
pa_50_25,initial,0.0
pa_50_25,SCALE,0.91
pa_50_25,PFS,0.81
pa_50_25,PFS',0.857
pa_50_25,FTA,0.786
pa_50_25,VPSC,0.842
pa_50_25,PRISM,0.848
pa_50_25,GTREE,0.876
pa_50_25,RWordle-L,0.893
pa_50_26,initial,0.0
pa_50_26,SCALE,0.91
pa_50_26,PFS,0.81
pa_50_26,PFS',0.857
pa_50_26,FTA,0.786
pa_50_26,VPSC,0.842
pa_50_26,PRISM,0.848
pa_50_26,GTREE,0.876
pa_50_26,RWordle-L,0.893
pa_50_27,initial,0.0
pa_50_27,SCALE,0.91
pa_50_27,PFS,0.81
pa_50_27,PFS',0.857
pa_50_27,FTA,0.786
pa_50_27,VPSC,0.842
pa_50_27,PRISM,0.848
pa_50_27,GTREE,0.876
pa_50_27,RWordle-L,0.893
pa_50_28,initial,0.0
pa_50_28,SCALE,0.91
pa_50_28,PFS,0.81
pa_50_28,PFS',0.857
pa_50_28,FTA,0.786
pa_50_28,VPSC,0.842
pa_50_28,PRISM,0.848
pa_50_28,GTREE,0.876
pa_50_28,RWordle-L,0.893
pa_50_29,initial,0.0
pa_50_29,SCALE,0.904
pa_50_29,PFS,0.792
pa_50_29,PFS',0.835
pa_50_29,FTA,0.863
pa_50_29,VPSC,0.818
pa_50_29,PRISM,0.851
pa_50_29,GTREE,0.869
pa_50_29,RWordle-L,0.886
pa_50_2,initial,0.0
pa_50_2,SCALE,0.909
pa_50_2,PFS,0.812
pa_50_2,PFS',0.871
pa_50_2,FTA,0.847
pa_50_2,VPSC,0.842
pa_50_2,PRISM,0.848
pa_50_2,GTREE,0.871
pa_50_2,RWordle-L,0.872
pa_50_30,initial,0.0
pa_50_30,SCALE,0.904
pa_50_30,PFS,0.792
pa_50_30,PFS',0.835
pa_50_30,FTA,0.863
pa_50_30,VPSC,0.818
pa_50_30,PRISM,0.851
pa_50_30,GTREE,0.869
pa_50_30,RWordle-L,0.886
pa_50_3,initial,0.0
pa_50_3,SCALE,0.909
pa_50_3,PFS,0.812
pa_50_3,PFS',0.871
pa_50_3,FTA,0.847
pa_50_3,VPSC,0.842
pa_50_3,PRISM,0.848
pa_50_3,GTREE,0.871
pa_50_3,RWordle-L,0.872
pa_50_4,initial,0.0
pa_50_4,SCALE,0.905
pa_50_4,PFS,0.786
pa_50_4,PFS',0.856
pa_50_4,FTA,0.874
pa_50_4,VPSC,0.817
pa_50_4,PRISM,0.869
pa_50_4,GTREE,0.872
pa_50_4,RWordle-L,0.889
pa_50_5,initial,0.0
pa_50_5,SCALE,0.907
pa_50_5,PFS,0.797
pa_50_5,PFS',0.869
pa_50_5,FTA,0.794
pa_50_5,VPSC,0.836
pa_50_5,PRISM,0.86
pa_50_5,GTREE,0.875
pa_50_5,RWordle-L,0.893
pa_50_6,initial,0.0
pa_50_6,SCALE,0.909
pa_50_6,PFS,0.812
pa_50_6,PFS',0.871
pa_50_6,FTA,0.847
pa_50_6,VPSC,0.842
pa_50_6,PRISM,0.848
pa_50_6,GTREE,0.871
pa_50_6,RWordle-L,0.872
pa_50_7,initial,0.0
pa_50_7,SCALE,0.905
pa_50_7,PFS,0.786
pa_50_7,PFS',0.856
pa_50_7,FTA,0.874
pa_50_7,VPSC,0.817
pa_50_7,PRISM,0.869
pa_50_7,GTREE,0.872
pa_50_7,RWordle-L,0.889
pa_50_8,initial,0.0
pa_50_8,SCALE,0.909
pa_50_8,PFS,0.796
pa_50_8,PFS',0.873
pa_50_8,FTA,0.808
pa_50_8,VPSC,0.813
pa_50_8,PRISM,0.852
pa_50_8,GTREE,0.87
pa_50_8,RWordle-L,0.891
pa_50_9,initial,0.0
pa_50_9,SCALE,0.909
pa_50_9,PFS,0.796
pa_50_9,PFS',0.873
pa_50_9,FTA,0.808
pa_50_9,VPSC,0.813
pa_50_9,PRISM,0.852
pa_50_9,GTREE,0.87
pa_50_9,RWordle-L,0.891
random_10_10,initial,0.0
random_10_10,SCALE,0.95
random_10_10,PFS,0.951
random_10_10,PFS',0.949
random_10_10,FTA,0.95
random_10_10,VPSC,0.955
random_10_10,PRISM,0.91
random_10_10,GTREE,0.9
random_10_10,RWordle-L,0.931
random_10_11,initial,0.0
random_10_11,SCALE,0.95
random_10_11,PFS,0.951
random_10_11,PFS',0.949
random_10_11,FTA,0.95
random_10_11,VPSC,0.955
random_10_11,PRISM,0.91
random_10_11,GTREE,0.9
random_10_11,RWordle-L,0.931
random_10_12,initial,0.0
random_10_12,SCALE,0.95
random_10_12,PFS,0.951
random_10_12,PFS',0.949
random_10_12,FTA,0.95
random_10_12,VPSC,0.955
random_10_12,PRISM,0.91
random_10_12,GTREE,0.9
random_10_12,RWordle-L,0.931
random_10_13,initial,0.0
random_10_13,SCALE,0.95
random_10_13,PFS,0.951
random_10_13,PFS',0.949
random_10_13,FTA,0.95
random_10_13,VPSC,0.955
random_10_13,PRISM,0.91
random_10_13,GTREE,0.9
random_10_13,RWordle-L,0.931
random_10_14,initial,0.0
random_10_14,SCALE,0.95
random_10_14,PFS,0.951
random_10_14,PFS',0.949
random_10_14,FTA,0.95
random_10_14,VPSC,0.955
random_10_14,PRISM,0.91
random_10_14,GTREE,0.9
