type;n;m;iteration;algorithm;oo_nni;sp_ch_a;gs_bb_iar;nm_dm_imse;eb_rsdd
pa;100;579;17;pfs;0;18.563148825196425;1.8884421029996774;2367.36231970179;0.369262
pa;100;579;17;pfsp;0;5.573749973398072;1.008587786259542;302.1236607615859;0.236042
pa;100;579;17;prism;0.02808080808080808;4.852361687772626;1.187903699354081;210.0447757315104;0.329652
pa;100;579;17;rwordle;0.11838383838383838;2.2300000021576842;1.0833666800053354;658.8200644583087;0.683521
pa;100;579;17;scale;0;19.445318646734854;1.062550237486299;0;0
pa;100;579;17;vpsc;0.027676767676767678;2.624993410294171;1.9828801085651653;182.67262600285437;0.422078
pa;100;485;18;gtree;0.022727272727272728;6.04681419322045;1.0114253552835233;292.5582636087651;0.283044
pa;100;485;18;pfs;0;19.975853771141427;1.6863687493608754;2643.668258260328;0.354173
pa;100;485;18;pfsp;0;5.303766810245248;1.1346617387112325;131.95605300672585;0.216657
pa;100;485;18;prism;0.02595959595959596;4.691749611819877;1.2725033820111693;245.62678952855273;0.359653
pa;100;485;18;rwordle;0.10525252525252525;2.2140524377521706;1.0803402646502835;551.7924226109996;0.69734
pa;100;485;18;scale;0;34.02594710539716;1.0696957114894121;1.4667326343618843e-19;0
